CBS	Naam 	Prov	Beschermd wonen	Participatie	Voogdij/18+	CBS	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	personen met verward gedrag	Regionale Energie Strategieën	slavernijverleden	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
1586	Oost Gelre	5	0	5965931	0	1586	0	69347	0	0	0	0	33843	0	0	0	0	0	0	0	0	0	7062	0	0	125985	0	0	7000	46365	0	20735
1509	Oude IJsselstreek	5	0	4995040	0	1509	0	176801	0	0	0	0	35660	0	0	0	0	0	0	0	0	0	7062	0	0	130363	0	0	5000	61101	0	24368
1734	Overbetuwe	5	0	3509288	0	1734	0	152650	0	0	0	0	37310	0	0	0	0	0	0	0	0	0	7062	0	0	121121	0	0	13000	80227	0	25063
273	Putten	5	0	1998895	0	273	0	66784	0	0	0	0	32874	0	2371	0	0	0	0	0	0	0	7062	0	0	121121	0	0	8000	40046	0	16755
274	Renkum	5	0	2227210	0	274	0	121356	0	0	0	0	34186	0	8233	0	0	0	0	0	0	0	7062	0	0	65668	0	0	4000	45515	0	16127
275	Rheden	5	0	6214317	0	275	0	220879	0	0	0	0	36438	0	28709	0	0	0	0	0	0	0	7062	0	0	106041	0	0	11000	68029	0	22540
277	Rozendaal	5	0	65854	0	277	0	2835	0	0	0	0	28664	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	0	3432	0	4268
279	Scherpenzeel	5	0	195602	0	279	0	27586	0	0	0	0	30227	0	0	0	0	0	0	0	0	0	7062	0	0	9242	0	0	1000	16746	0	8143
281	Tiel	5	0	8171133	0	281	140518	219652	0	233579	0	0	36139	0	1035	0	0	0	0	0	0	0	7062	0	0	286020	0	400077	13000	67984	0	22939
285	Voorst	5	0	2208164	0	285	0	48902	0	0	0	0	32953	0	0	0	0	0	0	0	0	0	7062	0	0	67613	0	0	7000	48656	0	17351
289	Wageningen	5	0	3569321	0	289	0	150714	0	0	0	0	35714	0	22329	0	0	0	0	0	0	0	7062	0	0	23835	0	0	3000	49056	0	22139
1960	West Betuwe	5	0	3034917	0	1960	0	141583	0	0	0	0	37920	0	0	0	0	0	0	0	0	0	7062	0	0	134741	0	0	15000	93632	0	28742
668	West Maas en Waal	5	0	1117238	0	668	0	62968	0	0	0	0	31985	0	0	0	0	0	0	0	0	0	7062	0	0	140091	0	0	4000	34445	0	13623
293	Westervoort	5	0	2736907	0	293	0	77960	0	0	0	0	31135	0	0	0	0	0	0	0	0	0	7062	0	0	44265	0	0	2000	23270	0	8938
296	Wijchen	5	0	4102228	0	296	0	153222	0	0	0	0	36017	0	0	0	0	0	0	0	0	0	7062	0	0	145928	0	0	10000	65071	0	22499
294	Winterswijk	5	0	6142679	0	294	0	102221	0	0	0	0	33740	0	98370	0	0	0	0	0	0	0	7062	0	0	230567	0	0	5000	51550	0	20910
297	Zaltbommel	5	0	3009382	0	297	0	97887	0	0	0	0	33819	0	0	0	0	0	0	0	0	0	7062	0	0	220352	0	0	9000	53907	0	17116
299	Zevenaar	5	0	4714628	0	299	0	169686	0	0	0	0	36544	0	8363	0	0	0	0	0	0	0	7062	0	0	133767	0	0	10000	73202	0	24439
301	Zutphen	5	0	10058164	0	301	0	258496	0	0	0	0	37290	0	68626	0	0	0	0	0	0	0	7062	0	0	124039	0	0	10000	78714	0	25527
307	Amersfoort	6	25971962	17117677	0	307	158461	707340	150000	275088	0	0	57627	128380	88455	0	0	4383662	0	276667	0	0	7062	0	0	171709	0	400077	30000	266770	4423219	71688
308	Baarn	6	0	796645	0	308	0	76488	0	0	0	0	32954	0	12199	0	0	0	0	0	0	0	7062	0	0	45238	0	0	7000	38882	0	14760
312	Bunnik	6	0	496242	0	312	0	33283	0	0	0	0	31196	0	0	0	0	0	0	0	0	0	7062	0	0	35509	0	0	3000	25158	0	9923
313	Bunschoten	6	0	1180462	0	313	0	61332	0	0	0	0	32438	0	0	0	0	0	0	0	0	0	7062	0	0	52048	0	0	4000	35121	0	12103
310	De Bilt	6	0	1002639	0	310	0	155921	0	0	0	0	36411	0	0	0	0	0	0	0	0	0	7062	0	0	35509	0	0	9000	73745	0	21492
736	De Ronde Venen	6	0	1744872	0	736	0	137385	0	0	0	0	36660	0	0	0	0	0	0	0	0	0	7062	0	0	190680	0	0	8000	78447	0	21831
317	Eemnes	6	0	273616	0	317	0	21098	0	0	0	0	30084	0	0	0	0	0	0	0	0	0	7062	0	0	79288	0	0	4000	15350	0	7331
321	Houten	6	0	699597	0	321	0	131660	0	0	0	0	37683	0	0	0	0	0	0	0	0	0	7062	0	0	62263	0	0	9000	84912	0	23189
353	IJsselstein	6	0	2543122	0	353	0	139347	0	0	0	0	34633	0	0	0	0	0	0	0	0	0	7062	0	0	41346	0	0	3000	50941	0	17054
327	Leusden	6	0	1435771	0	327	0	83140	0	0	0	0	34023	0	21510	0	0	0	0	0	0	0	7062	0	0	58858	0	0	4000	45527	0	16223
331	Lopik	6	0	803638	0	331	0	53973	0	0	0	0	31031	0	0	0	0	0	0	0	0	0	7062	0	0	87557	0	0	2000	32512	0	10028
335	Montfoort	6	0	453215	0	335	0	39253	0	0	0	0	30927	0	0	0	0	0	0	0	0	0	7062	0	0	113824	0	0	1000	22620	0	9378
356	Nieuwegein	6	0	2973509	0	356	0	288999	0	0	0	0	40221	0	0	0	0	0	0	0	0	0	7062	0	0	151279	0	0	15000	94569	0	31889
589	Oudewater	6	0	492394	0	589	0	41215	0	0	0	0	30228	0	0	0	0	0	0	0	0	0	7062	0	0	77342	0	0	2000	16233	0	8401
339	Renswoude	6	0	273462	0	339	0	11694	0	0	0	0	29376	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	0	9648	0	6658
340	Rhenen	6	0	1435926	0	340	0	74417	0	0	0	0	32100	0	0	0	0	0	0	0	0	0	7062	0	0	51561	0	0	2000	37462	0	11876
342	Soest	6	0	2956737	0	342	0	188904	0	0	0	0	37066	0	0	0	0	0	0	0	0	0	7062	0	0	108473	0	0	5000	70319	0	22866
1904	Stichtse Vecht	6	0	2812859	0	1904	0	196918	0	0	0	0	40452	0	0	0	0	0	0	0	0	0	7062	0	0	142037	0	0	14000	107185	0	28897
344	Utrecht	6	94733345	17942475	0	344	270060	1973488	951227	582831	0	0	95177	907524	136347	0	0	25858716	710071	562946	0	518448	7062	50000	546700	430002	4808,92	400077	62000	605937	12824238	191409
1581	Utrechtse Heuvelrug	6	0	1447616	0	1581	0	140928	0	0	0	0	37632	0	57979	0	0	0	0	0	0	0	7062	0	0	127444	0	0	8000	85275	0	24798
345	Veenendaal	6	0	6895231	0	345	0	310097	0	0	0	0	40787	0	0	0	0	0	0	0	0	0	7062	0	0	81233	0	0	11000	108734	0	31881
