;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal;index;0
162;Heiloo;5846727.2389713675;3074220.728812256;7351646.427653557;6462227.040867118;8919175.909656629;3061925.0662169065;2335182.9567205985;6606170.848925938;5962867.206208976;0.0;-4251945.403368771;-7086925.2299284255;38281255.56673121;;
163;Hilversum;28946803.45622858;20952978.506749526;27001624.029722612;38784242.036035724;34687697.40365107;16814190.118881166;19112101.937383864;32300170.25983743;26338905.850479648;0.0;-16320483.721391762;-29838774.00672904;198779344.38563076;;
164;Hollands Kroon;11033340.689944737;7023697.741386108;13286744.081928764;21256116.511223447;17884851.79912358;6726213.707830621;7000868.203595148;12080552.581795033;21788680.529624935;0.0;-8642539.298412269;-14306065.971155075;95132395.8175645;;
165;Hoorn;22325158.24968841;16331593.78002831;22262324.706152;36017971.37814224;27635194.412989404;11902234.821952434;15280359.32001328;28092094.828033973;22989546.94044921;0.0;-13150800.831001194;-18110774.205524836;171574801.65663278;;
166;Huizen;11294305.458079679;7348013.769389728;12493876.321267717;16042135.211887678;15226338.151059762;6414060.135762659;6523215.607934101;12411346.428850621;10093782.009422803;0.0;-7212519.089765418;-10887503.225218311;79747002.76593094;;
167;Koggenland;5052416.431059613;2478467.1846165536;5076054.873354464;6874254.631374412;8439739.947718997;3073130.3992798873;2545128.3595444034;5376913.314875126;9691433.194167536;0.0;-4110324.6208194345;-5618863.810046513;38878330.664185464;;
168;Landsmeer;2720605.7625481565;1391151.3569410404;2505886.124389898;3207038.8191501256;4219430.310326875;1594993.539739691;1559528.5263004485;2640903.706055172;4520297.851377899;0.0;-2046507.7077378503;-3283335.2054713364;19029984.1800215;;
169;Laren;2693627.5844343794;1050122.9163356645;4352983.162336346;2427216.4084582063;4339494.2411862705;1699664.6648618393;1932188.2714621143;2790631.7122268826;3104368.344030875;0.0;-2047731.5900938192;-5587568.434257725;16754991.152320176;;
170;Medemblik;10540578.18231673;6335347.513477767;12290105.361760996;18578805.76326427;16692534.66608917;5992125.596025888;5688462.817097368;12804096.01293432;20314018.182729635;0.0;-8048081.6989052845;-12099137.926629592;89088799.58104022;;
171;Oostzaan;2204892.8061525295;1065157.7806435658;2142770.086897888;2867972.0795512046;3511949.8663260704;1275947.2551689763;1038569.354746328;2187720.5310914093;4326938.715577785;0.0;-1699449.3735872393;-2717045.8736834372;16205414.64846608;;
172;Opmeer;2674972.2859131005;1344090.5909028002;3168509.5606195736;4329763.102026345;4397989.115087587;1453147.727532723;1346177.2754369765;2987264.1001358926;4690055.069821848;0.0;-2129556.931160495;-3003276.3719970654;21259122.751379173;;
173;Ouder-Amstel;3527991.226326126;1952742.857885745;2708723.905220048;4189885.492331467;5210571.143995171;2405092.160494621;2053994.4502883125;3187088.4455256346;5680010.240480798;0.0;-2496022.5565830674;-5439165.416879893;22980899.390618593;;
174;Purmerend;28058261.041294955;17258267.721831292;27636065.521556236;39484672.657273635;34641763.12319028;15798013.835290227;15688068.220634066;31381202.547122;26636201.79062681;0.0;-16433605.505033476;-23781909.352589734;196366884.70418856;;
175;Schagen;11096744.614919266;6280598.619781018;14649126.219489487;17268912.650454715;17764990.717363603;6781572.9487498365;7412129.210054881;12742352.966084663;18842775.345016286;0.0;-8296180.327153819;-12108444.038064234;92434528.10669993;;
176;Stede Broec;5500387.183937331;3141393.0804355815;7084091.709415719;10177096.99498092;8016951.3700967925;2763123.6068335236;4025268.483479739;6584172.152956996;6880968.889190594;0.0;-3870618.3373144036;-4598861.976518501;45703943.14439027;;
177;Texel;3473011.9641381903;1874524.0683817354;5191337.771995622;4999206.382501039;5686155.94818477;2669950.696656325;2155034.293839895;3632356.2587396665;9236364.410980128;3009010.3710266007;-2444094.9371165503;-6115785.440487054;33367057.30011025;;
178;Uitgeest;3055323.6601450127;1675013.1916937444;2007067.3378208084;3750003.01063316;4881249.055179378;1669944.8490257855;1404013.973179479;3256481.875457396;3499952.7176922904;0.0;-2355450.819488446;-3339453.2178227706;19504135.147806045;;
179;Uithoorn;8380599.832939616;4286058.10555968;6599413.430745758;10755838.15547053;11425361.032256855;4974667.803596092;5680867.502496385;8198648.3372517815;11041725.478964241;0.0;-5497334.074035314;-9454305.465158291;56391508.88127276;;
180;Velsen;18932522.081291292;14079171.580074385;20580681.96461595;28877782.525323644;25360861.9946484;10134127.471348744;10928656.305058971;22057706.338331033;18803347.23093935;0.0;-12027275.967675347;-19405134.777174328;138322361.85190207;;
181;Waterland;3874412.4544713665;2088443.4926326468;4495173.781586361;5211721.077766206;6366188.623661727;2435243.9158357326;2065070.183433663;4532828.470533637;7113834.916048796;0.0;-3078765.8449517763;-4166195.518687231;30937940.418710746;;
182;Wijdemeren;5417535.044094183;2252143.435897565;6181657.7041435465;6684180.380819127;9082953.152023477;3417804.8190238215;2546259.5625677723;5616782.108101975;8719696.684445716;0.0;-4311391.162460641;-7839053.4184245225;37768549.39247204;;
183;Wormerland;3913368.166861018;2323005.641332123;4683880.668084972;5776539.10528987;6046566.39010748;2365636.3700654563;1929848.8686229538;3880726.9274518085;6502304.307512704;0.0;-2904449.897134865;-4237357.534070607;30280050.382817622;;
184;Zaanstad;51025313.82033237;35914888.445004165;47995941.33476959;76059906.13223857;58474484.29901553;28944005.507195465;30351197.877949633;58354899.544649124;53171194.26526159;0.0;-27907686.226984795;-41750047.56170104;370633879.0153126;;
185;Zandvoort;4365932.093533727;3998765.559302164;5924355.706895757;7014890.126841207;6736916.845700134;3101057.793644759;2075015.0629525569;4250187.331059657;4956276.928678384;0.0;-3067051.5338135003;-5886146.263928223;33470175.028986327;;
186;Alblasserdam;4875467.6392089;4033487.9492448224;5390604.621683046;8821791.136218524;7348977.913151302;2774519.634475882;2730368.8966850233;5110545.43823525;6678511.348129732;0.0;-3559052.6187976445;-5396627.544386843;38808567.23591066;;
187;Albrandswaard;6408482.604725743;3974765.7941462733;3639721.133858434;6696750.314672726;9501268.074308611;3650411.0534308814;3188825.8687754264;6168184.76616028;6939543.467255877;0.0;-4608270.282399829;-6591945.619581135;38967719.71630863;;
