Gemeenten	Provincie	Grootteklasse	Stedelijkheid	Inwonertal
Tubbergen	Overijssel	20000tot50000inwoners	Nietstedelijk	21508
Twenterand	Overijssel	20000tot50000inwoners	Weinigstedelijk	34115
Tynaarlo	Drenthe	20000tot50000inwoners	Weinigstedelijk	35013
Tytsjerksteradiel	Fryslân	20000tot50000inwoners	Weinigstedelijk	32823
Uitgeest	Noord-Holland	10000tot20000inwoners	Matigstedelijk	13423
Uithoorn	Noord-Holland	20000tot50000inwoners	Matigstedelijk	32117
Urk	Flevoland	20000tot50000inwoners	Matigstedelijk	22172
Utrecht (gemeente)	Utrecht	250000inwonersofmeer	Zeersterkstedelijk	376435
Utrechtse Heuvelrug	Utrecht	50000tot100000inwoners	Weinigstedelijk	50941
Vaals	Limburg	10000tot20000inwoners	Matigstedelijk	10015
Valkenburg aan de Geul	Limburg	10000tot20000inwoners	Weinigstedelijk	16460
Valkenswaard	Noord-Brabant	20000tot50000inwoners	Sterkstedelijk	31958
Veendam	Groningen	20000tot50000inwoners	Matigstedelijk	27688
Veenendaal	Utrecht	50000tot100000inwoners	Sterkstedelijk	70339
Veere	Zeeland	20000tot50000inwoners	Nietstedelijk	21944
Veldhoven	Noord-Brabant	20000tot50000inwoners	Sterkstedelijk	47604
Velsen	Noord-Holland	50000tot100000inwoners	Sterkstedelijk	70004
Venlo	Limburg	100000tot150000inwoners	Sterkstedelijk	103982
Venray	Limburg	20000tot50000inwoners	Matigstedelijk	44810
Vijfheerenlanden	Utrecht	50000tot100000inwoners	Weinigstedelijk	62554
Vlaardingen	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	77234
Vlieland	Fryslân	Minderdan5000inwoners	Nietstedelijk	1212
Vlissingen	Zeeland	20000tot50000inwoners	Sterkstedelijk	45768
Voerendaal	Limburg	10000tot20000inwoners	Weinigstedelijk	12583
Voorne aan Zee	Zuid-Holland	50000tot100000inwoners	Matigstedelijk	74544
Voorschoten	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	25914
Voorst	Gelderland	20000tot50000inwoners	Weinigstedelijk	25567
Vught	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	33024
Waadhoeke	Fryslân	20000tot50000inwoners	Nietstedelijk	46865
Waalre	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	17894
Waalwijk	Noord-Brabant	50000tot100000inwoners	Matigstedelijk	51238
Waddinxveen	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	35043
Wageningen	Gelderland	20000tot50000inwoners	Sterkstedelijk	42802
Wassenaar	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	27534
Waterland	Noord-Holland	10000tot20000inwoners	Weinigstedelijk	17547
Weert	Limburg	50000tot100000inwoners	Matigstedelijk	51378
West Betuwe	Gelderland	50000tot100000inwoners	Nietstedelijk	53263
West Maas en Waal	Gelderland	20000tot50000inwoners	Nietstedelijk	20601
Westerkwartier	Groningen	50000tot100000inwoners	Nietstedelijk	64834
Westerveld	Drenthe	10000tot20000inwoners	Nietstedelijk	19987
Westervoort	Gelderland	10000tot20000inwoners	Matigstedelijk	15202
Westerwolde	Groningen	20000tot50000inwoners	Nietstedelijk	27464
Westland	Zuid-Holland	100000tot150000inwoners	Matigstedelijk	116897
Weststellingwerf	Fryslân	20000tot50000inwoners	Weinigstedelijk	26595
Wierden	Overijssel	20000tot50000inwoners	Weinigstedelijk	25349
Wijchen	Gelderland	20000tot50000inwoners	Matigstedelijk	41833
Wijdemeren	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	24662
Wijk bij Duurstede	Utrecht	20000tot50000inwoners	Matigstedelijk	23826
Winterswijk	Gelderland	20000tot50000inwoners	Matigstedelijk	29217
Woensdrecht	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	22194
Woerden	Utrecht	50000tot100000inwoners	Matigstedelijk	53974
De Wolden	Drenthe	20000tot50000inwoners	Nietstedelijk	24665
Wormerland	Noord-Holland	10000tot20000inwoners	Sterkstedelijk	16421
Woudenberg	Utrecht	10000tot20000inwoners	Matigstedelijk	14764
Zaanstad	Noord-Holland	150000tot250000inwoners	Sterkstedelijk	162784
Zaltbommel	Gelderland	20000tot50000inwoners	Weinigstedelijk	30396
Zandvoort	Noord-Holland	10000tot20000inwoners	Sterkstedelijk	17370
Zeewolde	Flevoland	20000tot50000inwoners	Weinigstedelijk	24296
Zeist	Utrecht	50000tot100000inwoners	Sterkstedelijk	66740
Zevenaar	Gelderland	20000tot50000inwoners	Matigstedelijk	45212
Zoetermeer	Zuid-Holland	100000tot150000inwoners	Zeersterkstedelijk	129941
Zoeterwoude	Zuid-Holland	10000tot20000inwoners	Weinigstedelijk	10142
Zuidplas	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	48705
Zundert	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	22804
Zutphen	Gelderland	20000tot50000inwoners	Sterkstedelijk	49038
Zwartewaterland	Overijssel	20000tot50000inwoners	Weinigstedelijk	23510
Zwijndrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	44680
Zwolle	Overijssel	100000tot150000inwoners	Sterkstedelijk	133830
